ep. 224 - いっしょにお話ししませんか！？(N3）

(00:00:00) 皆さんこんにちはともです えっと今日はね皆さんに連絡です
(00:00:13) 今日インスタグラムでも載せたんですけど あの
(00:00:19) 英語でお話ししませんかという連絡です えっとねー
(00:00:26) インスタをね見てくれた人はわかると思いますが 俺と友達で話をしているときに英語の練習をしたいという
(00:00:37) 話をしましたそれで俺も友達も英語が少しわかりますが 今はね日本に住んでいるから英語を全然話さないので英語をどんどん忘れています
(00:00:48) このままだと英語が全然しゃべれなくなってしまうからそれは残念なので全部忘れる 前に英語を練習したいと思いました
(00:00:59) ですので 英語を使う国の人アメリカとかねイギリスとかね
(00:01:06) 他にもいろんな国で英語をたくさん使うと思いますが あの英語がね上手な人と英語を一緒に話して英語の練習をしたいので俺とあとは
(00:01:17) 俺の友達と一緒に英語で話をしてくれる人いませんか という連絡です
(00:01:25) えっと英語 俺と友達の英語はそんなに上手じゃないからあの
(00:01:31) ねその下手な英語の練習を一緒にしてくれるととても嬉しいので それだけじゃなくてちゃんと俺も日本語の練習を一緒にします
(00:01:41) ですから英語で話したらその後は今度は日本語でも話をします 英語で話す時間と日本語で話す時間両方ありますから俺も英語が練習できるし
(00:01:53) 一緒に話す人は日本語の練習もできます 俺も友達もどちらも日本人ですでも友達は日本語の先生じゃありませんからちょっと難しい
(00:02:04) 日本語を使うときがあると思いますが あの日本語が難しくてわからないときは俺がね
(00:02:12) あのいつもポートキャストで話しているみたいに簡単な日本語に直すこともできます から日本語があまり上手じゃない人でも心配しなくて大丈夫です
(00:02:22) でも英語は 俺と友達の英語あまり上手じゃないから英語も簡単な英語を話してくれると嬉しいです
(00:02:31) えっとこれはねプライベートレッスンではありませんですからお金はいりません お金はいらないんだけどでも日本の時間と他の国の時間違いますから
(00:02:45) えっとそこはねちょっと大変だと思いますので時間がある人 だけになりますすみません
(00:02:54) えっとねこれはねだいたい時間はね土曜日本の土曜日の夜9時です えっと何日や何日にやるかはまだ決まっていませんがもしやるなら
(00:03:05) 日本の土曜日の9時ぐらいです えっとこれはね石毎週じゃありませんとりあえず
