ep. 224 - いっしょにお話ししませんか！？(N3）

皆さんこんにちはともです えっと今日はね皆さんに連絡です
今日インスタグラムでも載せたんですけど あの
英語でお話ししませんかという連絡です えっとねー
インスタをね見てくれた人はわかると思いますが 俺と友達で話をしているときに英語の練習をしたいという
話をしましたそれで俺も友達も英語が少しわかりますが 今はね日本に住んでいるから英語を全然話さないので英語をどんどん忘れています
このままだと英語が全然しゃべれなくなってしまうからそれは残念なので全部忘れる 前に英語を練習したいと思いました
ですので 英語を使う国の人アメリカとかねイギリスとかね
他にもいろんな国で英語をたくさん使うと思いますが あの英語がね上手な人と英語を一緒に話して英語の練習をしたいので俺とあとは
俺の友達と一緒に英語で話をしてくれる人いませんか という連絡です
えっと英語 俺と友達の英語はそんなに上手じゃないからあの
ねその下手な英語の練習を一緒にしてくれるととても嬉しいので それだけじゃなくてちゃんと俺も日本語の練習を一緒にします
ですから英語で話したらその後は今度は日本語でも話をします 英語で話す時間と日本語で話す時間両方ありますから俺も英語が練習できるし
一緒に話す人は日本語の練習もできます 俺も友達もどちらも日本人ですでも友達は日本語の先生じゃありませんからちょっと難しい
日本語を使うときがあると思いますが あの日本語が難しくてわからないときは俺がね
あのいつもポートキャストで話しているみたいに簡単な日本語に直すこともできます から日本語があまり上手じゃない人でも心配しなくて大丈夫です
でも英語は 俺と友達の英語あまり上手じゃないから英語も簡単な英語を話してくれると嬉しいです
えっとこれはねプライベートレッスンではありませんですからお金はいりません お金はいらないんだけどでも日本の時間と他の国の時間違いますから
えっとそこはねちょっと大変だと思いますので時間がある人 だけになりますすみません
えっとねこれはねだいたい時間はね土曜日本の土曜日の夜9時です えっと何日や何日にやるかはまだ決まっていませんがもしやるなら
日本の土曜日の9時ぐらいです えっとこれはね石毎週じゃありませんとりあえず
あの1回だけです
なのでやってみたい人がいたらとりあえずね連絡をください そして連絡をもらった人と何日にするか決めてそして
1回だけやりたいと思います もしあのやりたいという人がとても多かったら1回だけじゃなくて何回かするかも
しれません まだねあの全然わかりませんけどね
えっと1回で 参加できる人はあまり多くない方がいいと思うので
まあそうですね2人とか3人とかそのぐらいかなと思います 8
参加したい人がとても多かったら全員はできないと思うのでその時は
メールを送るのが早かった人かそれかいろいろな国からランダムで選ぶ ランダムで選ぶかして決めたいと思います
ということで 英語の国の人あの
俺とね話してみたいという人がいたらメールをください メールアドレスはいつもと違うメールを使うのでちょっと気をつけてください
今日のこのエピソードの説明にその連絡のメールを書いておきますからそちらの方に メールをください
メールができない人はインスタのメッセージでも大丈夫です メールを送るときメールとかメッセージを送るときには名前と国とあとはあの
