ep. 234 - 月食(N4,N2)

ん
ですこれは日本語を勉強している人のためのポッドキャストです 教科書の日本語は面白くないでもドラマや映画は難しすぎる
そんな人のために日本語教師の友がちょうどいい日本語で話をします さて皆さん
空を見てください 今日は月食です
月食というのは 空にある月
月の色が変わって見えることです 太陽と地球と月この3つが
一直線全部同じラインに来た時に起こるのが月食です 太陽の光が月に当たらなくなってそれで月の色が変わって見えます
太陽の光が当たらないと言っても 月が全部真っ黒になって見えなくなるわけではありません
赤い色かなちょっと赤い色に見えます それであのいつもと違う月を見ることができますから
今日は皆さんぜひ空を見て月食を楽しんでください 天気が良ければはっきり見えると思うんですが
俺の住んでいるところだと ちょっと今天気が悪いかなぁさっき少し雨が降っていたのでもしかしたら見ることが
できないかもしれませんが でも月食の時間はそんなに短くないですからね
あの 2時間ぐらい月食の時間がありますから
少しぐらいは見えるといいなぁと思います 後でゆっくり俺も空を見たいと思います皆さんも月食楽しんでください
はいじゃあもう1回同じ話をしたいと思いますが 8今日は月食ですね皆さん空見てくださいだんだん月食が始まる時間になってきました
月食っていうのは 太陽の
光が月に当たらなくなる状態ですね 8月とか地球っていうのはその太陽の光を反射して輝く星ですが
もちろんその地球も太陽の光が当たる側と当たらない側があります 当たらない側の方には影ができますね
そしてその影の中に月が入ってしまうというのが月食です なので月がその地球の影に入ってしまうから太陽の光が当たらなくなってそれで
月の色が変わって見える 太陽の光が当たらないといっても真っ黒になるわけではなくて
赤黒い感じですねそういう色に見えるのが月食です 月食ってあの
月が地球の反対側に来て 反対側というか8太陽との反対側ですね
それであの影に入るという現象なので あの満月の時になります
だからあの月がね天気が良ければ綺麗な満月でそしてそれがどんどん色が変わっていく っていう綺麗なものが見れると思いますが
ただ今日はねちょっと天気があんまり良くないんですよね さっきあの俺の住んでるところでは小雨が降っていたので
もしかしたらちょっと雲で隠れて見えないかもしれませんが あの
そんな一瞬で終わるものでもないので あの月食の間ねちょっとでも雲が切れて見えないかなぁと期待してます
あとでね俺もゆっくり見てみたいと思います じゃあ皆さんも月食楽しんでください
はいじゃあ今日は大きなニュースあの大きなニュースというかね 月食という珍しいものがあるので
それについてちょっと日本語で説明してみました あのぜひ
みなさん月食楽しんでください はいじゃあ今日は短いですけどこれで終わりですさようなら
